RMSE,MAE,R2,MAPE,SF_MAE,N_Events,Variant,Change_Features,Event_Loss
0.05804775080142087,0.03588395193219185,0.8963013291358948,0.69572353,0.06728001683950424,17714,Baseline,No,No
0.061492599978691366,0.039345066994428635,0.8836281299591064,0.7633511,0.06800143420696259,17714,+ Features,Yes,No
0.06887806227729495,0.046556681394577026,0.8539961576461792,0.90544873,0.07152655720710754,17714,+ Event loss,No,Yes
0.06286835157583114,0.04090069234371185,0.878362774848938,0.79488146,0.06741752475500107,17714,Full,Yes,Yes
