Model,Source,Target,RMSE,MAE,R2,Sudden_Fluct_MAE
NLinear,Separate Files,EC,0.06727599578532084,0.04427754506468773,0.8607091307640076,0.07566060870885849
DLinear,Separate Files,EC,0.062228185449330536,0.040814273059368134,0.8808273077011108,0.07737227529287338
NLinear,Separate Files,pH,0.0030235090250261103,0.0017807764234021306,0.9774169921875,0.008267451077699661
DLinear,Separate Files,pH,0.002789959991437089,0.001888573868200183,0.9807710647583008,0.005360720679163933
NLinear,API Combined,EC,0.041136993492773125,0.02630392462015152,0.9531911611557007,0.05688145011663437
DLinear,API Combined,EC,0.04095105498475475,0.02745012380182743,0.9536133408546448,0.054113924503326416
NLinear,API Combined,pH,0.005412295921976325,0.003398856148123741,0.8941372036933899,0.007451060693711042
DLinear,API Combined,pH,0.005718197163995238,0.003885474754497409,0.8818323612213135,0.007565743755549192
