Actual,Predicted
207.0,205.8958
204.0,202.50403
199.99998,200.54205
198.0,197.7796
194.0,194.11388
189.0,192.21823
186.0,188.38622
181.0,184.6608
196.0,182.50497
173.99998,178.24591
172.0,175.94154
170.0,172.93875
168.0,169.38736
166.0,166.25276
165.0,164.39133
164.0,163.31111
162.0,162.13348
163.0,162.34271
162.0,161.18997
163.0,162.3092
163.00002,162.12454
164.0,164.10808
164.0,163.60564
164.0,164.98082
164.0,165.7238
164.0,166.10637
166.0,168.31337
185.0,170.42581
167.0,171.50867
167.0,172.87784
166.99998,171.30331
166.0,167.23091
166.0,167.03355
166.0,166.1553
167.0,165.54245
167.0,165.43506
168.0,165.25832
167.0,166.21542
168.0,167.10562
168.0,166.23805
167.0,167.14685
167.0,165.95862
167.0,166.64905
167.0,168.0707
165.99998,167.71622
167.0,168.86583
181.0,170.08708
166.00002,169.17453
166.0,168.07652
165.0,166.71632
165.0,163.63165
164.0,163.32025
163.0,162.99828
161.0,160.75127
160.0,159.15442
159.0,157.4495
158.0,156.05743
156.0,155.40756
155.0,153.02165
152.0,151.94644
150.0,149.95093
149.0,149.4498
150.0,149.02017
147.0,148.21811
146.0,147.84332
159.0,148.41042
143.0,145.57889
142.0,145.11722
142.0,143.91571
142.0,141.12433
143.0,141.25781
143.0,142.02403
143.00002,143.17993
143.0,142.36848
143.00002,140.86652
144.0,142.36145
144.0,143.81458
143.0,143.14865
146.0,143.4877
142.0,142.28156
142.0,143.5076
155.0,144.84433
141.0,143.23059
139.99998,142.86969
140.0,140.70197
140.0,138.52591
140.0,138.48077
139.0,139.51059
139.0,139.27985
140.0,139.10507
139.0,139.46045
140.0,138.93462
140.0,140.68454
141.0,142.15189
142.0,140.85681
142.0,142.4838
141.99998,143.25348
143.0,144.60565
142.0,143.38065
143.0,144.8237
155.0,145.08139
142.0,145.82196
143.0,145.06381
143.0,145.03168
144.0,143.01294
144.0,142.69908
144.0,143.49771
143.0,144.06969
144.0,144.02321
144.0,144.16847
144.0,143.75798
145.0,144.05836
145.0,144.41852
145.0,145.79544
146.0,146.25333
146.0,147.81262
149.0,148.27615
147.0,148.68143
148.0,150.74005
161.0,151.18613
147.99998,152.8653
149.0,151.68448
150.0,152.21494
151.0,150.38611
150.99998,149.43271
152.0,152.41788
153.0,153.4389
153.99998,154.94498
155.0,154.41937
155.0,154.17908
156.0,155.5792
156.0,154.47055
157.0,155.51273
158.0,156.63403
158.0,157.36935
161.0,157.80304
158.0,158.47844
158.0,160.0831
171.0,160.7283
159.0,161.30147
160.0,160.8627
160.0,161.38411
160.0,159.67093
160.0,159.22307
160.0,161.14761
161.0,160.54471
160.0,160.70123
160.0,159.89746
161.0,159.27512
160.0,160.3469
161.0,160.6784
161.0,160.02924
162.0,161.23291
162.0,160.43663
167.0,161.25717
162.0,159.63531
163.0,160.85254
176.0,161.43564
163.0,161.5075
164.0,161.33987
165.0,162.29413
166.0,163.0402
166.0,164.34528
166.0,168.48366
167.0,168.46863
168.0,173.14653
168.0,180.13965
169.0,184.8323
168.00002,192.45967
284.0,201.90125
171.0,208.58601
170.0,203.29752
170.0,194.81882
179.0,183.16798
171.0,170.66223
171.0,172.31845
184.0,178.77979
174.99998,174.49706
173.0,174.77483
174.0,170.80545
174.0,174.29327
174.0,169.95859
174.0,167.82265
175.0,168.51472
175.0,178.36282
175.0,185.1087
175.0,193.975
175.99998,211.50519
283.0,216.8669
177.0,218.10632
178.0,211.62236
178.0,200.95473
186.0,186.27371
180.0,178.93631
187.0,181.4199
199.0,186.39084
181.0,182.17618
181.99998,182.70963
182.0,185.86247
183.0,191.845
183.0,186.23361
184.0,186.79771
183.0,180.82404
183.0,187.453
183.0,187.39488
183.0,181.36618
182.0,187.31093
182.0,183.74905
182.0,183.94177
181.0,184.91643
181.0,185.9991
194.0,184.20715
180.0,189.1207
180.0,188.22124
189.0,187.91203
180.0,178.1965
180.0,176.29893
181.0,180.57283
183.0,179.32562
183.0,181.44458
183.0,187.32875
194.0,187.76398
184.0,189.18025
202.0,192.4023
186.0,192.7289
184.99998,191.841
185.0,189.30022
186.0,186.97418
184.0,184.13892
183.0,183.11197
186.0,182.26375
181.99998,181.4209
182.0,183.29202
195.0,184.66528
183.0,182.52708
183.0,184.1845
183.0,187.16754
183.0,183.29794
184.0,184.08484
183.0,184.5868
183.0,182.09921
183.0,181.1178
183.0,181.9115
183.0,182.85144
183.0,181.56161
183.0,186.30836
185.0,182.94481
182.99998,185.68259
184.0,183.9565
193.0,187.55365
186.0,188.78741
188.0,192.60814
198.0,189.7019
189.0,190.81134
189.0,188.65375
190.0,188.72299
192.0,188.93814
192.0,190.52419
193.0,191.30266
195.0,189.2243
195.0,190.28125
194.0,188.61667
196.0,192.55547
194.0,190.16954
192.99998,192.51518
194.0,194.17093
192.0,194.25137
192.0,197.51242
196.0,205.06415
192.0,213.34845
284.0,223.99744
203.0,226.51057
197.0,223.01924
197.0,219.79042
196.0,209.38051
198.0,197.86589
196.0,194.6348
196.0,201.78159
197.0,193.33583
196.0,198.48108
197.0,193.45724
198.0,198.65027
197.0,192.33383
196.99998,199.35295
200.0,195.3911
196.0,195.91093
197.0,200.55042
198.00002,196.11584
197.0,201.71298
196.0,200.10512
196.99998,197.23131
199.0,196.19142
199.0,195.74493
198.0,191.37419
196.0,194.83203
192.0,193.01239
193.0,190.6045
192.0,188.76782
192.0,187.6915
193.0,189.72435
193.0,192.16429
193.0,188.96872
193.0,195.07504
194.0,191.01773
195.0,191.39078
195.0,199.83539
197.0,194.64627
196.0,200.11618
196.0,198.13623
206.0,202.07658
197.0,199.40395
198.0,195.95215
198.0,200.67532
199.0,201.95782
199.99998,197.9373
201.0,199.29245
201.0,200.32942
201.0,201.25648
202.0,202.08867
202.0,198.65407
203.0,201.90756
203.0,201.94254
203.0,203.45476
203.0,200.38744
203.0,204.38371
206.0,201.60219
203.0,204.46753
203.0,206.83945
212.0,206.66768
203.0,205.4505
202.0,200.56367
201.99998,202.39009
203.0,202.07831
203.0,202.12746
202.0,202.92018
202.0,201.54095
202.0,201.9157
202.0,205.16353
219.0,208.67464
208.0,210.98546
206.0,211.64566
205.0,210.44228
216.0,208.67152
211.0,209.26315
214.0,215.29619
211.0,214.92577
210.0,210.57193
211.99998,209.80838
207.0,208.87544
206.0,205.65927
205.0,205.6023
205.0,206.5759
207.0,207.53067
208.0,206.0949
210.0,205.6691
210.0,206.74655
210.0,209.42587
211.0,209.88895
210.0,210.82353
209.0,212.77185
212.0,209.4331
210.0,211.47769
210.0,213.92877
218.0,216.08293
212.0,213.85953
210.0,213.13106
219.0,215.51897
211.0,210.35406
210.0,210.32135
210.0,210.0011
210.0,208.52464
209.0,209.6577
208.0,210.01973
210.0,209.4167
209.0,211.04218
209.0,208.06444
211.0,210.17291
211.0,210.00964
210.0,211.99132
212.0,210.83682
210.0,212.51396
