Actual,Predicted
7.26,7.2631707
7.26,7.2638335
7.27,7.2635846
7.27,7.2669096
7.27,7.265256
7.27,7.2674937
7.27,7.2722845
7.27,7.2736287
7.27,7.2735815
7.27,7.2762074
7.2799997,7.275057
7.2799997,7.2763724
7.2799997,7.2785044
7.28,7.277834
7.28,7.2815876
7.28,7.2795615
7.2799997,7.284373
7.2799997,7.2841363
7.28,7.282413
7.28,7.2855597
7.2799997,7.2866797
7.2799997,7.287998
7.28,7.288099
7.28,7.2895665
7.26,7.2663136
7.27,7.2658653
7.27,7.263057
7.27,7.2675495
7.27,7.2658296
7.27,7.2692904
7.27,7.2717743
7.27,7.2758026
7.27,7.274998
7.2799997,7.277011
7.2799997,7.274572
7.2799997,7.278121
7.28,7.2789783
7.28,7.2780566
7.28,7.280422
7.2799997,7.2797313
7.2799997,7.2844725
7.28,7.283928
7.28,7.2837706
7.2799997,7.284484
7.2799997,7.2864
7.28,7.2871695
7.28,7.2893834
7.28,7.2888484
7.27,7.2724013
7.27,7.265859
7.27,7.2637076
7.27,7.26711
7.27,7.267265
7.27,7.268538
7.27,7.2740154
7.27,7.275374
7.2799997,7.275765
7.2799997,7.277397
7.2799997,7.276243
7.28,7.278945
7.28,7.2799144
7.28,7.277991
7.2799997,7.280263
7.2799997,7.280079
7.28,7.2847066
7.28,7.283249
7.2799997,7.283251
7.2799997,7.2852244
7.28,7.285246
7.28,7.287316
7.28,7.289111
7.29,7.287989
7.27,7.2682366
7.27,7.265959
7.27,7.264231
7.27,7.2683163
7.27,7.266971
7.27,7.2708473
7.27,7.2745247
7.2799997,7.2767215
7.2799997,7.2767415
7.2799997,7.278593
7.28,7.277563
7.28,7.2798595
7.28,7.2794228
7.2799997,7.2781496
7.2799997,7.2811136
7.28,7.281323
7.28,7.2848535
7.2799997,7.2817245
7.2799997,7.281915
7.28,7.2859287
7.28,7.2862844
7.28,7.2862306
7.29,7.288863
7.29,7.285492
7.27,7.2654886
7.27,7.265408
7.27,7.2661724
7.27,7.268749
7.27,7.268444
7.27,7.272087
7.2799997,7.275182
7.2799997,7.2770734
7.2799997,7.2776318
7.28,7.27937
7.28,7.278031
7.28,7.280199
7.2799997,7.2803125
7.2799997,7.279152
7.28,7.282498
7.28,7.2806783
7.2799997,7.283109
7.2799997,7.282764
7.28,7.282247
7.28,7.286454
7.28,7.2860622
7.29,7.2854333
7.29,7.2873187
7.29,7.2852535
7.27,7.265144
7.27,7.268032
7.27,7.26743
7.27,7.2698097
7.27,7.2704225
7.2799997,7.272493
7.2799997,7.276721
7.2799997,7.277419
7.28,7.2789516
7.28,7.2800436
7.28,7.279269
7.2799997,7.2804255
7.2799997,7.281317
7.28,7.2804785
7.28,7.281738
