Actual,Predicted
7.2599998,7.2551785
7.2599998,7.262941
7.27,7.2645326
7.27,7.265654
7.27,7.2672467
7.27,7.2685056
7.2599998,7.260968
7.27,7.26658
7.27,7.2665706
7.27,7.266214
7.27,7.2681694
7.27,7.267538
7.27,7.267995
7.27,7.2672114
7.27,7.2677464
7.27,7.268255
7.27,7.2671876
7.27,7.26888
7.27,7.268171
7.27,7.269055
7.27,7.2689767
7.27,7.2670455
7.27,7.2693396
7.27,7.2687564
7.27,7.267544
7.27,7.2681117
7.27,7.267857
7.27,7.2689247
7.27,7.269614
7.27,7.2730217
7.27,7.266223
7.27,7.267823
7.27,7.2684703
7.27,7.2706037
7.27,7.272686
7.28,7.272881
7.27,7.2660146
7.27,7.268906
7.27,7.2708364
7.27,7.271897
7.28,7.274341
7.2799997,7.274891
7.27,7.267212
7.27,7.2708187
7.27,7.2723374
7.28,7.273788
7.2799997,7.275457
7.2799997,7.276782
7.27,7.271894
7.27,7.2734113
7.28,7.274496
7.2799997,7.2740984
7.2799997,7.2763114
7.28,7.278004
7.27,7.273598
7.28,7.2743855
7.2799997,7.2748604
7.2799997,7.2765927
7.28,7.2776036
7.28,7.2797036
7.28,7.2778893
7.2799997,7.275587
7.2799997,7.2753806
7.28,7.2765083
7.28,7.279128
7.28,7.280998
7.2799997,7.2748346
7.2799997,7.275829
7.28,7.277835
7.28,7.278778
7.28,7.2808127
7.2799997,7.2807937
7.2799997,7.2707434
7.28,7.278303
7.28,7.279613
7.28,7.279997
7.2799997,7.2819653
7.2799997,7.282521
7.28,7.273695
7.28,7.2802186
7.28,7.2813263
7.2799997,7.28064
7.2799997,7.2809763
7.28,7.282808
7.28,7.2741027
7.28,7.2805023
7.2799997,7.2803564
7.2799997,7.282119
7.28,7.2832894
7.28,7.2829266
7.28,7.275747
7.2799997,7.278779
7.2799997,7.2818565
7.28,7.2821436
7.28,7.284263
7.2799997,7.285285
7.2799997,7.276417
7.2799997,7.281988
7.28,7.282336
7.28,7.283119
7.2799997,7.2848015
7.2799997,7.284337
7.2799997,7.281122
7.28,7.282842
7.28,7.282764
7.2799997,7.28266
7.2799997,7.282587
7.28,7.282955
7.28,7.285569
7.28,7.2837243
7.2799997,7.2827964
7.2799997,7.281445
7.28,7.2828736
7.28,7.283094
7.28,7.2884035
7.2799997,7.2830977
7.2799997,7.2821918
7.28,7.281623
7.28,7.2827864
7.2799997,7.284478
7.2799997,7.2871237
7.2799997,7.2807846
7.28,7.281872
7.28,7.283381
7.2799997,7.2827654
7.29,7.286082
7.2799997,7.2855263
7.28,7.281097
7.28,7.2815657
7.2799997,7.2842946
7.29,7.287961
7.29,7.286412
7.28,7.282215
7.28,7.2812705
7.2799997,7.284976
7.29,7.2874956
7.29,7.2885523
7.29,7.2892137
7.28,7.281724
7.2799997,7.283885
7.29,7.2869253
7.29,7.2886915
7.29,7.289184
7.29,7.289781
7.2799997,7.283545
7.29,7.28534
7.29,7.289761
7.29,7.2908273
7.29,7.2912555
7.29,7.2898674
7.29,7.286272
7.29,7.2890315
7.29,7.2906513
7.29,7.290623
7.29,7.291714
7.2900004,7.2907386
7.29,7.288622
7.29,7.2919474
7.29,7.2927675
7.29,7.291611
7.2900004,7.289905
7.29,7.2873406
7.29,7.289502
7.29,7.2923746
7.29,7.292143
7.2900004,7.2908006
7.29,7.2896895
7.29,7.289167
7.29,7.2906113
7.29,7.291975
7.2900004,7.291867
7.29,7.289301
7.29,7.2890334
7.29,7.28872
7.29,7.2919364
7.2900004,7.290461
7.29,7.289968
7.29,7.2901134
7.29,7.2891736
7.29,7.2852836
7.2900004,7.291252
7.29,7.289365
7.29,7.2895803
7.29,7.288135
7.29,7.285791
7.28,7.2852373
7.29,7.290468
7.29,7.2880325
7.29,7.287402
7.29,7.2847915
7.28,7.2852545
7.28,7.2821465
7.29,7.290079
7.29,7.288055
7.29,7.284969
7.28,7.283172
7.28,7.2805667
7.2799997,7.280087
7.29,7.288461
7.29,7.2851777
7.28,7.2832537
7.28,7.278741
7.2799997,7.278282
7.28,7.279028
7.29,7.285649
7.28,7.2828712
7.28,7.2792473
7.2799997,7.278255
7.28,7.2789454
7.28,7.279081
7.28,7.280972
7.28,7.281335
7.2799997,7.278835
7.28,7.2772923
7.28,7.27902
7.2799997,7.2807803
7.28,7.2804184
7.2799997,7.2782235
7.28,7.2792177
7.28,7.281377
7.2799997,7.2809663
7.28,7.2803774
7.2799997,7.2778416
7.28,7.2786293
7.28,7.2813344
7.2799997,7.2813234
7.28,7.281968
7.28,7.282865
7.28,7.277471
7.28,7.280175
7.2799997,7.2808485
7.28,7.281588
7.28,7.2825046
7.2799997,7.2807636
7.28,7.2793193
7.2799997,7.28048
7.28,7.2816453
7.28,7.2813787
7.2799997,7.2819967
7.28,7.2816133
7.2799997,7.2756834
7.28,7.2793984
7.28,7.281255
7.2799997,7.2825036
7.28,7.2821693
7.2799997,7.282988
7.28,7.277481
7.28,7.2816854
7.2799997,7.2810984
7.28,7.2812033
7.2799997,7.2826757
7.28,7.2823787
7.28,7.2799807
7.2799997,7.281523
7.28,7.282199
7.2799997,7.2810426
7.28,7.283275
7.28,7.2805753
7.2799997,7.283452
7.28,7.2821016
7.2799997,7.2825127
7.28,7.2807
7.28,7.2778215
7.2799997,7.279516
7.28,7.2813497
7.2799997,7.2806096
7.28,7.2800646
7.28,7.2801733
7.2799997,7.281559
7.28,7.277722
7.2799997,7.2816844
7.28,7.2812877
7.28,7.2801776
7.2799997,7.2787313
7.28,7.277671
7.2799997,7.279662
7.28,7.282786
7.28,7.2791495
7.2799997,7.2791185
7.28,7.2777333
7.2799997,7.2776685
7.28,7.27699
7.28,7.2760396
7.2799997,7.2761974
7.28,7.2780166
7.2799997,7.280672
7.28,7.2801275
7.28,7.279578
7.2799997,7.273807
7.28,7.2782435
7.2799997,7.2816725
7.28,7.2801857
7.28,7.2820683
7.2799997,7.279269
7.28,7.2784286
7.2799997,7.28267
7.28,7.2816644
7.28,7.2806206
7.2799997,7.2782273
7.28,7.2788186
7.2799997,7.2791944
7.28,7.281402
7.28,7.2812934
7.2799997,7.279572
7.28,7.2792172
7.2799997,7.277386
7.28,7.280441
7.28,7.2802906
7.2799997,7.280561
7.28,7.2799644
7.2799997,7.279427
7.28,7.2790203
7.28,7.2810106
7.2799997,7.279779
7.28,7.2796984
7.2799997,7.2801795
7.28,7.279829
