Actual,Predicted
218.84001,220.07591
219.84,220.26126
220.61,220.95811
221.15,221.36798
221.45999,221.45532
221.53,221.34726
221.36,221.26643
220.94,220.79958
220.27,220.58401
219.38,219.83868
218.33,219.16367
217.24,218.60178
216.23,217.86974
215.43,217.55548
214.92,217.01494
214.76001,216.7537
214.92,216.55309
215.36,216.5338
215.99,216.9055
216.7,217.41084
217.4,217.7068
218.01001,218.51152
218.48,218.88582
218.79,219.69533
219.84,220.81833
220.61,220.54045
221.15,221.18628
221.45999,221.41034
221.53,221.51555
221.36,221.28459
220.94,220.67886
220.27,220.27518
219.38,219.6616
218.33,219.0982
217.24,218.34808
216.23,217.74901
215.43,217.33768
214.92,217.00061
214.76001,216.59889
214.92,216.30815
215.36,216.31682
215.99,216.48323
216.7,217.12935
217.4,217.76582
218.01001,218.15941
218.48,218.95938
218.79,219.43661
218.93001,220.19745
220.61,221.10585
221.15,220.89838
221.45999,221.35779
221.53,221.63982
221.36,221.42717
220.94,220.689
220.27,220.18074
219.38,219.4766
218.33,218.69206
217.24,218.03613
216.23,217.6685
215.43,217.07605
214.92,216.60417
214.76001,216.14635
214.92,215.84859
215.36,215.94116
215.99,216.1716
216.7,216.65045
217.4,217.43053
218.01001,217.9828
218.48,218.96272
218.79,219.41786
218.93001,220.08691
218.94,220.77446
221.15,221.03954
221.45999,221.2657
221.53,221.74274
221.36,221.45386
220.94,221.10567
220.27,220.3001
219.38,219.50589
218.33,218.6039
217.24,217.85445
216.23,217.25662
215.43,216.51373
214.92,216.25183
214.76001,215.69609
214.92,215.46051
215.36,215.30655
215.99,215.56981
216.7,216.0359
217.4,216.89311
218.01001,217.61368
218.48,218.49721
218.79,219.35405
218.93001,220.06068
218.94,220.84808
218.83,221.35902
221.45999,220.97887
221.53,221.45775
221.36,221.78545
220.94,221.18265
220.27,220.7713
219.38,219.61673
218.33,218.64911
217.24,217.82974
216.23,217.00896
215.43,216.19614
214.92,215.8087
214.76001,215.2291
214.92,214.83072
215.36,214.63089
215.99,214.80423
216.7,215.20872
217.4,216.18828
218.01001,216.89633
218.48,218.08652
218.79,219.06372
218.93001,220.00558
218.94,220.68304
218.83,221.35266
218.61,221.8926
221.53,221.13974
221.36,221.51355
220.94,221.43182
220.27,220.59366
219.38,219.88885
218.33,218.76509
217.24,217.64265
216.23,216.72673
215.43,216.1219
214.92,215.30911
214.76001,214.89514
214.92,214.43613
215.36,214.20374
215.99,214.13968
216.7,214.5471
217.4,215.27911
218.01001,216.26466
218.48,217.43643
218.79,218.3978
218.93001,219.47008
218.94,220.59537
218.83,221.20549
218.61,221.9648
218.3,222.29582
221.36,220.83963
220.94,221.21796
220.27,220.77145
219.38,219.6851
218.33,218.8097
217.24,217.57062
216.23,216.80421
215.43,215.88461
214.92,215.01073
214.76001,214.54266
214.92,213.91502
215.36,213.91873
215.99,213.77939
216.7,213.99847
217.4,214.62355
218.01001,215.62859
218.48,216.67693
218.79,217.85352
218.93001,219.01736
218.94,219.68237
218.83,221.32864
218.61,221.59818
218.3,222.19525
217.93,222.63208
220.94,220.64511
220.27,220.24908
219.38,219.66235
218.33,218.53023
