Actual,Predicted
7.2599998,7.257278
7.2599998,7.26535
7.27,7.266332
7.27,7.2681985
7.27,7.268283
7.27,7.2699623
7.27,7.2683306
7.27,7.2716155
7.27,7.274729
7.27,7.273004
7.28,7.2751412
7.2799997,7.2764716
7.2799997,7.2771993
7.28,7.280301
7.28,7.2804914
7.28,7.281607
7.2799997,7.280974
7.2799997,7.2821913
7.28,7.2836847
7.28,7.283865
7.2799997,7.2864895
7.2799997,7.2853994
7.28,7.286101
7.28,7.2870727
7.2599998,7.263157
7.27,7.266652
7.27,7.267914
7.27,7.2682424
7.27,7.2706695
7.27,7.268586
7.27,7.2713237
7.27,7.2732263
7.27,7.2734585
7.28,7.275185
7.2799997,7.2755384
7.2799997,7.276458
7.28,7.2786913
7.28,7.280123
7.28,7.2805886
7.2799997,7.2802477
7.2799997,7.2824464
7.28,7.282845
7.28,7.2834167
7.2799997,7.2847705
7.2799997,7.28528
7.28,7.2867503
7.28,7.2865057
7.2799997,7.2850466
7.27,7.268956
7.27,7.2685485
7.27,7.2688556
7.27,7.269269
7.27,7.270371
7.27,7.2710156
7.27,7.2724576
7.27,7.2738433
7.28,7.2748675
7.2799997,7.275344
7.2799997,7.2762933
7.28,7.27728
7.28,7.279489
7.28,7.2806253
7.2799997,7.280323
7.2799997,7.2816625
7.28,7.2816763
7.28,7.283589
7.2799997,7.283636
7.2799997,7.2845716
7.28,7.2875
7.28,7.2852325
7.2799997,7.285199
7.29,7.2863503
7.27,7.270302
7.27,7.2697744
7.27,7.2692304
7.27,7.2692523
7.27,7.2707443
7.27,7.272081
7.27,7.272679
7.28,7.27414
7.2799997,7.2752347
7.2799997,7.2759233
7.28,7.277194
7.28,7.2793775
7.28,7.2803545
7.2799997,7.2806234
7.2799997,7.2816625
7.28,7.2807894
7.28,7.2828865
7.2799997,7.2838125
7.2799997,7.2836504
7.28,7.285859
7.28,7.2854958
7.2799997,7.284804
7.29,7.287015
7.29,7.284008
7.27,7.2691293
7.27,7.2701654
7.27,7.2687078
7.27,7.269243
7.27,7.271622
7.27,7.272586
7.28,7.2744617
7.2799997,7.2748218
7.2799997,7.275976
7.28,7.2782955
7.28,7.278599
7.28,7.2795334
7.2799997,7.2799635
7.2799997,7.281649
7.28,7.281427
7.28,7.283717
7.2799997,7.2824564
7.2799997,7.284688
7.28,7.2845664
7.28,7.283592
7.2799997,7.285686
7.29,7.2855916
7.29,7.2843184
7.29,7.285916
7.27,7.2680326
7.27,7.2694583
7.27,7.2696238
7.27,7.2705684
7.27,7.272979
7.28,7.27451
7.2799997,7.2743535
7.2799997,7.277102
7.28,7.2773094
7.28,7.2770877
7.28,7.279383
7.2799997,7.2798557
7.2799997,7.281192
7.28,7.281868
7.28,7.282651
7.2799997,7.2826777
7.2799997,7.2844286
7.28,7.2833476
7.28,7.284766
7.2799997,7.2843394
7.29,7.284186
7.29,7.284387
7.29,7.2863903
7.29,7.28385
7.27,7.2680035
7.27,7.2705374
7.27,7.2705965
7.27,7.2720103
7.28,7.2750764
7.2799997,7.2730236
7.2799997,7.2759094
7.28,7.27605
7.28,7.278747
7.28,7.2809696
7.2799997,7.278866
7.2799997,7.281089
7.28,7.281293
7.28,7.2823086
7.2799997,7.2827206
7.2799997,7.2846265
7.28,7.2830925
7.28,7.285803
7.2799997,7.2834315
7.29,7.284796
7.29,7.284922
7.29,7.28364
7.29,7.285443
7.29,7.284005
7.27,7.2696757
7.27,7.272452
7.27,7.2727785
7.28,7.273474
7.2799997,7.274721
7.2799997,7.275074
7.28,7.2767444
7.28,7.278438
7.28,7.278681
7.2799997,7.279755
7.2799997,7.2809405
7.28,7.2812114
7.28,7.2828326
7.2799997,7.2824335
7.2799997,7.284011
7.28,7.282452
7.28,7.284857
7.2799997,7.2846885
7.29,7.2836423
7.29,7.2831607
7.29,7.284797
7.29,7.2846375
7.29,7.2831883
7.2900004,7.284733
7.27,7.272064
7.27,7.2742715
7.28,7.273802
7.2799997,7.273793
7.2799997,7.274909
7.28,7.2766185
7.28,7.276935
7.28,7.2794065
7.2799997,7.2803526
7.2799997,7.280886
7.28,7.280606
7.28,7.2827687
7.2799997,7.281922
7.2799997,7.2834115
7.28,7.2846007
7.28,7.2837043
7.2799997,7.284573
7.29,7.2839
7.29,7.2845283
7.29,7.2841673
7.29,7.2829604
7.29,7.284565
7.2900004,7.2852716
7.29,7.283113
7.27,7.275645
7.28,7.274828
7.2799997,7.2738953
7.2799997,7.2752194
7.28,7.2772884
7.28,7.2774606
7.28,7.278938
7.2799997,7.280905
7.2799997,7.280159
7.28,7.2825584
7.28,7.281643
7.2799997,7.283055
7.2799997,7.2837977
7.28,7.283012
7.28,7.2844405
7.2799997,7.284875
7.29,7.283092
7.29,7.285015
7.29,7.282857
7.29,7.2847323
7.29,7.285107
7.2900004,7.2831626
7.29,7.284468
7.29,7.2829685
7.28,7.2783055
7.2799997,7.273905
7.2799997,7.2746196
7.28,7.275818
7.28,7.2787523
7.28,7.2786746
7.2799997,7.2812066
7.2799997,7.279217
7.28,7.281898
7.28,7.281459
7.2799997,7.282086
7.2799997,7.283589
7.28,7.2838902
7.28,7.284315
7.2799997,7.2845173
7.29,7.2838097
7.29,7.2843256
7.29,7.2846003
7.29,7.2839856
7.29,7.284432
7.2900004,7.2847657
7.29,7.28426
7.29,7.283995
7.29,7.2830853
7.2799997,7.274637
7.2799997,7.2754025
7.28,7.275705
7.28,7.277454
7.28,7.280045
7.2799997,7.28068
7.2799997,7.2797832
7.28,7.2822504
7.28,7.2808156
7.2799997,7.283028
7.2799997,7.2838316
7.28,7.2848277
7.28,7.283626
7.2799997,7.2839904
7.29,7.286054
7.29,7.2829056
7.29,7.284205
7.29,7.2846594
7.29,7.2849116
7.2900004,7.284711
7.29,7.2850084
7.29,7.284278
7.29,7.283851
7.29,7.283632
7.2799997,7.2716703
7.28,7.276539
7.28,7.2775836
7.28,7.280037
7.2799997,7.280778
7.2799997,7.2817407
7.28,7.28195
7.28,7.2823906
7.2799997,7.2832565
7.2799997,7.284285
7.28,7.2832327
7.28,7.2850266
7.2799997,7.2841325
7.29,7.2844863
7.29,7.2851243
7.29,7.284395
7.29,7.2848306
7.29,7.284932
7.2900004,7.284559
7.29,7.286478
7.29,7.2835603
7.29,7.2849803
7.29,7.2853374
7.28,7.282546
7.28,7.273996
7.28,7.278552
7.28,7.2806954
7.2799997,7.2798433
7.2799997,7.2814717
7.28,7.2817063
7.28,7.282114
7.2799997,7.2832346
7.2799997,7.283914
7.28,7.284516
7.28,7.284921
7.2799997,7.284509
7.29,7.2849326
7.29,7.283897
7.29,7.2855015
7.29,7.284857
7.29,7.284709
7.2900004,7.2860293
7.29,7.285425
7.29,7.284733
7.29,7.287176
7.29,7.28379
7.28,7.2840776
7.28,7.2827415
7.28,7.2738657
7.28,7.280522
7.2799997,7.2802362
7.2799997,7.280691
7.28,7.2826138
7.28,7.282705
7.2799997,7.2837944
7.2799997,7.284208
7.28,7.284163
7.28,7.2843666
7.2799997,7.285083
7.29,7.2851624
7.29,7.283779
7.29,7.284933
7.29,7.286053
7.29,7.2855625
7.2900004,7.285616
7.29,7.2862296
7.29,7.2856135
7.29,7.286652
7.29,7.2845883
7.28,7.2851696
7.28,7.284556
7.2799997,7.2817616
7.28,7.276349
7.2799997,7.2791896
7.2799997,7.2803483
7.28,7.2838025
7.28,7.2838564
7.2799997,7.283955
7.2799997,7.2840614
7.28,7.2848663
7.28,7.283902
7.2799997,7.2842546
7.29,7.2852297
7.29,7.2859387
7.29,7.2851076
7.29,7.285852
7.29,7.286788
7.2900004,7.2856045
7.29,7.2864347
7.29,7.2874184
7.29,7.2861567
7.29,7.286112
7.28,7.284984
7.28,7.2839947
7.2799997,7.2846904
7.28,7.28319
7.2799997,7.2779193
7.2799997,7.2812743
7.28,7.283715
7.28,7.2831063
7.2799997,7.284075
7.2799997,7.2843466
7.28,7.2840295
7.28,7.284015
7.2799997,7.2849193
7.29,7.2864094
7.29,7.285428
7.29,7.2865176
7.29,7.2865834
7.29,7.2864814
7.2900004,7.2875714
7.29,7.2867804
7.29,7.287152
7.29,7.2865467
7.29,7.2874184
7.28,7.2851
7.28,7.2861733
7.2799997,7.2845764
7.28,7.284174
7.28,7.283467
7.2799997,7.2818084
7.28,7.2828484
7.28,7.28207
7.2799997,7.2833595
7.2799997,7.2835245
7.28,7.283059
7.28,7.2839375
7.2799997,7.2861905
7.29,7.28533
7.29,7.2853427
7.29,7.2882714
7.29,7.287354
7.29,7.2877665
7.2900004,7.2872667
7.29,7.2880135
7.29,7.2876563
7.29,7.2867045
7.29,7.287105
7.28,7.2858114
7.28,7.2860804
7.2799997,7.2854123
7.28,7.2849355
7.28,7.285367
7.2799997,7.283859
7.28,7.2864256
7.28,7.2824645
7.2799997,7.2836227
7.2799997,7.2830577
7.28,7.2824597
7.28,7.28288
7.2799997,7.285465
7.29,7.285676
7.29,7.2865596
7.29,7.287627
7.29,7.2887497
7.29,7.288765
7.2900004,7.287336
7.29,7.288988
7.29,7.288369
7.29,7.2863345
7.29,7.287933
7.28,7.286539
7.28,7.286534
