Actual,Predicted
218.84001,220.16322
219.84,220.192
220.61,220.70274
221.15,221.04227
221.45999,221.20125
221.53,221.15594
221.36,221.09555
220.94,220.60109
220.27,220.07022
219.38,219.58858
218.33,219.01091
217.24,218.32776
219.84,220.76366
220.61,220.51846
221.15,220.75659
221.45999,220.9952
221.53,221.03163
221.36,220.9318
220.94,220.55638
220.27,220.06334
219.38,219.28
218.33,218.68599
217.24,218.2018
216.23,217.72314
220.61,220.85544
221.15,221.03435
221.45999,221.19713
221.53,220.96347
221.36,220.9186
220.94,220.37004
220.27,219.89978
219.38,219.15659
218.33,218.56384
217.24,217.8136
216.23,217.52005
215.43,216.91992
221.15,220.90169
221.45999,221.11664
221.53,221.42339
221.36,220.9708
220.94,220.56125
220.27,219.94452
219.38,219.30884
218.33,218.29694
217.24,217.61177
216.23,217.0961
215.43,216.51936
214.92,216.19138
221.45999,220.84006
221.53,221.48804
221.36,221.24309
220.94,220.68674
220.27,219.97534
219.38,219.30197
218.33,218.42035
217.24,217.57175
216.23,216.79843
215.43,216.06013
214.92,215.76825
214.76001,215.42223
221.53,221.21118
221.36,221.53792
220.94,221.14264
220.27,220.12688
219.38,219.26549
218.33,218.47966
217.24,217.42662
216.23,216.63057
215.43,215.7317
214.92,215.19302
214.76001,214.76775
214.92,214.5916
221.36,221.16512
220.94,221.1481
220.27,220.47144
219.38,219.35965
218.33,218.29901
217.24,217.32521
216.23,216.57172
215.43,215.55794
214.92,215.10655
214.76001,214.23462
214.92,214.1911
215.36,214.02283
220.94,220.91823
220.27,220.3174
219.38,219.23735
218.33,218.36652
217.24,217.39804
216.23,216.5446
215.43,215.52295
214.92,214.8685
214.76001,214.08047
214.92,213.61154
215.36,213.49724
215.99,213.80087
220.27,220.31523
219.38,219.27573
218.33,218.22987
217.24,217.31183
216.23,216.382
215.43,215.54364
214.92,214.46046
214.76001,214.14429
214.92,213.21466
215.36,213.28058
215.99,213.55872
216.7,213.97879
219.38,219.39108
218.33,218.39087
217.24,217.29515
216.23,216.07947
215.43,215.24257
214.92,214.42722
214.76001,213.87598
214.92,213.36336
215.36,213.40385
215.99,213.4575
216.7,213.96
217.4,214.68567
218.33,219.14978
217.24,217.8619
216.23,216.18878
215.43,215.12653
214.92,214.07947
214.76001,213.45398
214.92,212.96103
215.36,213.1367
215.99,212.99387
216.7,213.74657
217.4,214.59256
218.01001,215.50394
217.24,217.91707
216.23,216.32812
215.43,215.2027
214.92,214.14204
214.76001,213.63536
214.92,213.29417
215.36,213.37187
215.99,213.42749
216.7,214.1503
217.4,214.83585
218.01001,215.72868
218.48,216.65903
216.23,215.62498
215.43,214.51112
214.92,213.96428
214.76001,214.01328
214.92,213.9768
215.36,214.0432
215.99,214.16171
216.7,214.7565
217.4,215.40073
218.01001,216.10687
218.48,217.01018
218.79,217.90016
215.43,213.96552
214.92,213.82782
214.76001,214.00313
214.92,214.12657
215.36,214.61401
215.99,214.64722
216.7,215.27493
217.4,216.03108
218.01001,216.7198
218.48,217.47223
218.79,218.20943
218.93001,219.04765
214.92,213.81578
214.76001,214.63553
214.92,214.98509
215.36,214.64262
215.99,215.02391
216.7,215.29288
217.4,216.06769
218.01001,216.92911
218.48,217.79352
218.79,218.38509
218.93001,218.81741
218.94,219.48082
214.76001,213.76454
214.92,215.10374
215.36,215.24274
215.99,215.43402
216.7,215.95297
217.4,216.54088
218.01001,217.38834
218.48,217.98721
218.79,218.90219
218.93001,219.11343
218.94,219.33926
218.83,219.53569
214.92,214.00842
215.36,214.9955
215.99,215.76956
216.7,216.26093
217.4,217.14171
218.01001,217.91862
