Actual,Predicted
218.84001,220.12563
219.84,220.33604
220.61,220.77281
221.15,221.0457
221.45999,221.11116
221.53,220.92287
221.36,220.5459
220.94,220.26993
220.27,219.84726
219.38,219.3581
218.33,218.79362
217.24,218.19437
216.23,217.71385
215.43,217.37552
214.92,217.3245
214.76001,217.13467
214.92,217.05942
215.36,217.08455
215.99,217.16078
216.7,217.62933
217.4,218.21468
218.01001,218.75464
218.48,219.20769
218.79,220.1893
218.93001,220.80962
218.94,221.43677
218.83,222.05199
218.61,222.52481
218.3,222.99298
217.93,223.1414
217.53,223.47638
217.18001,223.64726
216.95,223.51782
216.94,223.47592
217.24,223.16661
217.9,223.12582
218.9,222.82246
220.15999,222.65108
221.54,222.59268
222.87,222.49799
223.97,222.44714
224.69,222.49489
224.95999,222.51219
224.76001,222.60901
224.16,222.61574
223.28,222.76318
222.31,222.77072
221.45001,222.9316
219.84,220.94066
220.61,220.57233
221.15,220.95105
221.45999,221.02058
221.53,221.09196
221.36,220.64392
220.94,220.01816
220.27,219.54327
219.38,218.95355
218.33,218.54564
217.24,218.12128
216.23,217.46584
215.43,216.99081
214.92,216.90099
214.76001,216.83627
214.92,216.68045
215.36,216.88782
215.99,217.01688
216.7,217.54001
217.4,217.93594
218.01001,218.52483
218.48,219.24089
218.79,219.71284
218.93001,220.70346
218.94,221.21086
218.83,221.93358
218.61,222.33621
218.3,222.723
217.93,222.98215
217.53,223.07886
217.18001,223.40692
216.95,223.39078
216.94,223.0008
217.24,223.11871
217.9,222.60593
218.9,222.58867
220.15999,222.39828
221.54,222.31001
222.87,222.26381
223.97,222.24023
224.69,222.1684
224.95999,222.22385
224.76001,222.49243
224.16,222.51862
223.28,222.78304
222.31,222.68365
221.45001,222.77206
220.84001,222.98727
220.61,221.07048
221.15,220.98477
221.45999,221.17038
221.53,221.21169
221.36,220.81102
220.94,220.10968
220.27,219.32974
219.38,218.7399
218.33,218.26244
217.24,217.7422
216.23,217.03479
215.43,216.79259
214.92,216.58627
214.76001,216.2468
214.92,216.33913
215.36,216.37976
215.99,216.61255
216.7,216.89348
217.4,217.70175
218.01001,218.34222
218.48,218.92377
218.79,219.77745
218.93001,220.4895
218.94,220.91548
218.83,221.70572
218.61,222.13783
218.3,222.60204
217.93,222.86084
217.53,223.02014
217.18001,223.10736
216.95,222.92015
216.94,222.8861
217.24,222.83264
217.9,222.40256
218.9,222.38991
220.15999,221.97755
221.54,221.9546
222.87,221.91125
223.97,221.97925
224.69,221.83151
224.95999,222.01207
224.76001,222.21164
224.16,222.22026
223.28,222.59097
222.31,222.4194
221.45001,222.83392
220.84001,222.72052
220.61,222.71616
221.15,221.08455
221.45999,221.25288
221.53,221.56099
221.36,221.19133
220.94,220.69783
220.27,219.62779
219.38,218.70789
218.33,217.92664
217.24,217.27238
216.23,216.78249
215.43,216.33032
214.92,215.98868
214.76001,215.71085
214.92,215.55656
215.36,215.6434
215.99,216.16263
216.7,216.5066
217.4,217.14456
218.01001,217.97151
218.48,218.61783
218.79,219.5307
218.93001,220.23094
218.94,220.99413
218.83,221.69928
218.61,222.09366
218.3,222.61974
217.93,222.64095
217.53,223.00195
217.18001,222.95093
216.95,222.82944
216.94,222.88275
217.24,222.59563
217.9,222.35191
218.9,221.936
220.15999,221.71028
221.54,221.80261
222.87,221.43257
223.97,221.46118
224.69,221.62862
224.95999,221.7046
224.76001,221.70619
224.16,221.92801
223.28,222.18513
222.31,222.39006
221.45001,222.56903
220.84001,222.76848
220.61,222.63637
220.77,222.77347
221.45999,220.96227
221.53,221.67227
221.36,221.46028
220.94,220.86061
220.27,220.26215
219.38,219.01521
218.33,218.06331
217.24,216.98444
216.23,216.50844
215.43,215.9867
214.92,215.489
214.76001,215.1475
214.92,214.87157
215.36,214.9068
215.99,215.34789
216.7,215.83316
217.4,216.5369
218.01001,217.42355
218.48,218.28949
